"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","0.268303877712363","0.245723602189304","0.783957809104037","0.863405804183245","0.84010036751367","0.919518406038114","1.01657737087642","0.909990766056493","0.905153346555871","0.953959274549178","0.636239610936317","0.912672626767066","0.859018092739523","0.92876232112174","0.946913799690578","1.02272119868345","1.09020064189606","1.35117839697136","1.34516256984751","1.69342480932912","1.38044735062902","1.52899981522341","1.26075745050705","1.54517800363336","1.64594849043489","1.57956852962197","2.01221062515195","2.00325631357576","2.02366921118993","1.96980271547067","1.99019127657074","1.68470265464267","1.7672737699848","1.75910361636465","1.90160545977569","1.89581126929261","","",
"Africa Eastern and Southern","AFE","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.65775644759828","1.56349866364888","1.80704899268171","1.97222239200149","2.0122960189111","1.94358941124177","2.0999171308684","2.17493179664597","2.47615433361098","2.506989386777","2.45518445757761","3.12113728311628","3.23626225930036","2.66444898323937","2.40961865037683","2.18684069026801","2.08903227158371","2.00976455780052","2.1051531047366","2.03599504961906","1.87592886260834","1.71346097433867","1.83289085141237","1.96298976412576","2.08289508275445","2.28252653656781","2.53469183068523","2.36556633177723","2.36291958154632","2.5284490852353","2.65357065199052","2.54865221746947","","",
"Afghanistan","AFG","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.11197468229547","1.29740230580947","1.46592765659798","1.24062859982101","0.938296470912142","0.799647955025219","1.02531754161446","1.04582627852423","0.934205027426437","1.27787052218331","1.29099527213206","1.14251585292128","1.22212443671311","","",
"Africa Western and Central","AFW","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.461922749741445","0.565553300596805","0.594816385331864","0.596801247695747","0.812844789510095","0.75603669962271","0.831388228056338","0.925107598027171","1.0571892206459","1.18078809389984","1.34931466522957","1.44872189115921","1.40585439264406","1.21769222938683","1.14229369393826","1.12646557782578","1.04139284157199","0.94098256133063","0.76833724624495","0.859856823746515","0.855581461638292","0.814893320800932","0.804812086096163","0.80247067001095","0.79130898255329","0.928044920734408","1.10190786503598","1.16212962405247","1.13081381486893","1.17255917897101","1.22417590038747","1.26593697612191","","",
"Angola","AGO","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.792794721801294","0.805728563928067","2.6347455255811","4.01489617933988","8.51517703435785","4.07529631843184","4.21572448733476","3.97506508464612","5.18447133867205","6.53842799575466","4.03690169983024","4.19972841959414","2.31630101865485","2.18930138892552","1.82732652502156","1.11669280294265","0.878974409158811","0.757850299304119","0.691558279936678","0.920089468080361","0.882721883981247","0.712406792495748","0.645888794659696","0.704286699796166","0.773930504227088","1.32942123104685","2.26227652781146","1.40169120280358","1.30771480353656","1.63069231400158","2.02622526685513","1.71365222644187","","",
"Albania","ALB","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.57551170069933","4.82489526986069","4.81934769031921","2.36917666700533","1.59981027711019","1.21099196301265","0.943947164602924","1.0540961184658","1.16848153425723","1.60371889260051","1.64128840047217","1.54848416162468","1.7000497206909","1.48423211500437","1.27502958439771","1.14148747253595","1.07378535324945","0.97144023804729","0.845781032292008","0.983281104403709","1.07702996021222","1.12196763917705","1.10782376950124","1.104330257932","1.21573115501979","1.3943160166906","1.33471041302214","1.47357879686941","1.32252269814187","1.29578260354724","1.30646648944084","1.23603542858925","","",
"Andorra","AND","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.588905503182923","","","","",
"Arab World","ARB","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.16700443122135","1.83447440690472","2.15444487533195","2.38987656927418","2.5744374129462","2.44985746962525","2.39474914580583","2.42574463286218","2.57105528670136","2.46046034924237","2.20540360776894","2.50798048422995","2.7258132389838","2.64590957721234","2.45204196577162","2.24959024395427","2.07412857341403","1.9339754941767","1.73259919973001","2.15327212689461","2.02004875209758","1.87092617297259","1.89485204466178","1.95982927871412","2.07181810191483","2.50462302279277","2.65294273553991","2.73431333360605","2.57213061569039","2.73922345866428","3.03357310531231","","","",
"United Arab Emirates","ARE","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.43720715554685","1.74055098368495","1.80440111020878","1.75518879935666","1.63404730601734","1.47658371859729","1.31410761156691","1.27494883398109","1.31171642292312","1.69287611737678","1.60586618304859","1.4080848142425","1.41736891382916","1.48823068961686","1.49989008070873","1.82492314777611","1.94454199336984","1.87459251892372","1.6195491082429","1.83343390552913","2.11953481950269","","","",
"Argentina","ARG","Adjusted savings: carbon dioxide damage (% of GNI)","NY.ADJ.DCO2.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.899472650706913","0.737939507737599","0.64393185317593","0.66143753042321","0.645839759046554","0.681143701882455","0.731551556089823","0.728456118461291","0.77902876588542","0.864918585224977","0.887435875993036","0.931486833833473","2.55201409240637","2.190659000838","2.13115157269189","1.92822848289358","1.68909620398757","1.49749033726097","1.27279581740565","1.33978143112136","1.16787431954557","1.02306573975334","1.03723500072162","1.09659075779391","1.1730145413885","1.10553903942945","1.20633686543403","1.06977448340199","1.36945334692393","1.59355349987407","1.7000323641686","1.57478771179578","","",
